['580598: cncbarrier_f.p3d', 384]
['581200: mound02_8m_f.p3d', 42]
['581040: stone_4m_f.p3d', 431]
['582433: b_ficusc2s_f.p3d', 1033]
['1783950: kestrel_f.p3d Kestrel_Random_F', 1156]
['579930: pavement_wide_f.p3d', 1354]
['581765: b_ficusc1s_f.p3d', 1379]
['580013: barrelsand_f.p3d', 1507]
['1790220: kestrel_f.p3d Kestrel_Random_F', 1531]
['581663: mound02_8m_f.p3d', 1678]
['19957722080# 579381: d_shop_02_v1_f.p3d Land_d_Shop_02_V1_F', 1770]
['579827: t_fraxinusav2s_f.p3d', 1773]
['582253: b_ficusc2s_f.p3d', 888]
['581026: b_ficusc1s_f.p3d', 407]
['581174: canisterplastic_f.p3d', 633]
['581028: b_ficusc1s_f.p3d', 517]
['582280: mound01_8m_f.p3d', 926]
['582456: t_ficusb1s_f.p3d', 915]
['582491: t_ficusb1s_f.p3d', 965]
['582337: t_oleae2s_f.p3d', 669]
['582331: t_ficusb1s_f.p3d', 963]
['581049: stone_8m_f.p3d', 511]
['1992d10b580# 580792: lampstreet_small_f.p3d Land_LampStreet_small_F', 377]
['582214: stone_8m_f.p3d', 1055]
['581784: t_ficusb2s_f.p3d', 1098]
['581717: mound01_8m_f.p3d', 1177]
['579916: stone_8m_f.p3d', 1360]
['1787955: kestrel_f.p3d Kestrel_Random_F', 1370]
['579662: t_oleae2s_f.p3d', 1490]
['1789985: kestrel_f.p3d Kestrel_Random_F', 1492]
['579724: stone_8m_f.p3d', 1494]
['579646: stone_8m_f.p3d', 1709]
['1512568: phonebooth_01_f.p3d', 911]
['582216: stone_8m_f.p3d', 936]
['581391: t_ficusb2s_f.p3d', 537]
['580574: mil_wallbig_4m_f.p3d', 255]
['580745: b_ficusc1s_f.p3d', 57]
['582247: b_ficusc1s_f.p3d', 920]
['580537: t_fraxinusav2s_f.p3d', 239]
['581744: stone_8m_f.p3d', 939]
['582481: b_ficusc2s_f.p3d', 1031]
['582471: b_ficusc1s_f.p3d', 1069]
['582281: mound02_8m_f.p3d', 1076]
['Agent 0x00000198E8456100', 1143]
['581707: b_ficusc1s_f.p3d', 1169]
['579974: b_ficusc1s_f.p3d', 1170]
['579661: stone_8md_f.p3d', 1822]
['582329: t_ficusb1s_f.p3d', 966]
['581494: t_ficusb1s_f.p3d', 638]
['582271: b_ficusc2s_f.p3d', 1046]
['1785218: kestrel_f.p3d Kestrel_Random_F', 1221]
['581719: mound01_8m_f.p3d', 1288]
['581781: mound02_8m_f.p3d', 1375]
['579544: b_ficusc1s_f.p3d', 1399]
['579946: canal_wallsmall_10m_f.p3d', 1596]
['579519: b_ficusc1s_f.p3d', 1690]
['581685: b_ficusc1s_f.p3d', 1748]
['579495: stone_pillar_f.p3d', 1856]
['581347: mound01_8m_f.p3d', 385]
['579612: b_ficusc1s_f.p3d', 214]
['581400: b_ficusc1s_f.p3d', 541]
['199573eab00# 582312: i_house_big_01_v3_f.p3d Land_i_House_Big_01_V3_F', 677]
['582460: t_ficusb2s_f.p3d', 715]
['581043: stone_8m_f.p3d', 424]
['580661: b_ficusc1s_f.p3d', 225]
['582497: mound02_8m_f.p3d', 978]
['582442: stone_8m_f.p3d', 654]
['1992d122b00# 580823: u_house_big_01_v1_f.p3d Land_u_House_Big_01_V1_F', 142]
['582322: stone_8m_f.p3d', 874]
['580648: b_ficusc1s_f.p3d', 288]
['580840: pavement_wide_f.p3d', 770]
['582454: t_ficusb1s_f.p3d', 960]
['582474: b_ficusc1s_f.p3d', 1065]
['582272: b_ficusc2s_f.p3d', 1090]
['579574: stone_8m_f.p3d', 1393]
['579622: t_fraxinusav2s_f.p3d', 1707]
['581591: b_ficusc1s_f.p3d', 1800]
['581048: stone_8m_f.p3d', 426]
['580603: powerpolewooden_small_f.p3d', 151]
['581427: mound01_8m_f.p3d', 710]
['582242: wall_tin_4_2.p3d', 877]
['19957e86b00# 579891: u_house_big_01_v1_f.p3d Land_u_House_Big_01_V1_F', 589]
['1992d0f0b80# 580014: i_house_big_01_v3_f.p3d Land_i_House_Big_01_V3_F', 612]
['582462: t_oleae1s_f.p3d', 812]
['581493: t_ficusb1s_f.p3d', 637]
['582273: mound01_8m_f.p3d', 1093]
['1786348: kestrel_f.p3d Kestrel_Random_F', 1274]
['579948: canal_wallsmall_10m_f.p3d', 1523]
['581647: b_ficusc1s_f.p3d', 1610]
['579512: mound01_8m_f.p3d', 1622]
['579459: b_ficusc1s_f.p3d', 1835]
['580689: bucket_f.p3d', 399]
['582248: b_ficusc1s_f.p3d', 761]
['582452: t_ficusb1s_f.p3d', 912]
['579589: mound01_8m_f.p3d', 188]
['19957e98b80# 579887: i_garage_v1_f.p3d Land_i_Garage_V1_F', 383]
['19957e86080# 579907: i_garage_v2_f.p3d Land_i_Garage_V2_F', 378]
['582482: b_ficusc2s_f.p3d', 1081]
['582478: b_ficusc1s_f.p3d', 1082]
['581776: mound02_8m_f.p3d', 1199]
['579862: b_ficusc1s_f.p3d', 1241]
['582234: cratesshabby_f.p3d', 1266]
['580853: pavement_wide_f.p3d', 1387]
['580709: hbarrier_1_f.p3d', 1480]
['579530: mound02_8m_f.p3d', 1551]
['579691: b_ficusc1s_f.p3d', 1572]
['581639: b_ficusc1s_f.p3d', 1607]
['579828: stone_pillar_f.p3d', 1655]
['579855: barrelsand_f.p3d', 1662]
['579540: mound02_8m_f.p3d', 1698]
['199578f1600# 579699: i_house_small_01_v3_f.p3d Land_i_House_Small_01_V3_F', 1701]
['51949: signc_05_3.p3d', 1772]
['579476: concrete_smallwall_4m_f.p3d', 1777]
['580753: b_ficusc1s_f.p3d', 135]
['579899: t_ficusb2s_f.p3d', 698]
['581158: b_ficusc1s_f.p3d', 818]
['581388: t_ficusb1s_f.p3d', 712]
['19958218100# 581148: i_house_small_01_v2_f.p3d Land_i_House_Small_01_V2_F', 580]
['581366: junkpile_f.p3d', 465]
['581128: stone_pillar_f.p3d', 553]
['579584: mound01_8m_f.p3d', 1107]
['579976: b_ficusc1s_f.p3d', 1171]
['579960: stone_pillar_f.p3d', 1508]
['581646: b_ficusc1s_f.p3d', 1605]
['581638: b_ficusc1s_f.p3d', 1608]
['579492: mound02_8m_f.p3d', 1782]
['579413: city2_8m_f.p3d', 1810]
['579463: b_neriumo2s_white_f.p3d', 1842]
['580569: mil_wallbig_4m_f.p3d', 261]
['580632: stone_8m_f.p3d', 220]
['582367: b_ficusc1s_f.p3d', 976]
['582212: stone_8m_f.p3d', 774]
['580859: pavement_wide_f.p3d', 146]
['579595: mound01_8m_f.p3d', 201]
['580762: t_ficusb1s_f.p3d', 51]
['581184: tableplastic_01_f.p3d', 784]
['581170: b_ficusc1s_f.p3d', 635]
['580642: pavement_narrow_f.p3d', 211]
['582369: b_ficusc1s_f.p3d', 1052]
['582529: b_ficusc2s_f.p3d', 1062]
['1784386: kestrel_f.p3d Kestrel_Random_F', 1184]
['579957: stone_pillar_f.p3d', 1594]
['579764: b_neriumo2s_white_f.p3d', 1733]
['579254: mound02_8m_f.p3d', 1808]
['581690: mound01_8m_f.p3d', 1863]
['581068: b_ficusc2s_f.p3d', 368]
['581218: b_ficusc1s_f.p3d', 50]
['582230: stone_pillar_f.p3d', 719]
['581019: b_ficusc1s_f.p3d', 123]
['582317: stone_8m_f.p3d', 829]
['582228: stone_pillar_f.p3d', 718]
['581066: b_ficusc2s_f.p3d', 319]
['581188: b_ficusc1s_f.p3d', 44]
['581356: b_ficusc1s_f.p3d', 386]
['581217: b_ficusc1s_f.p3d', 271]
['580887: pavement_wide_f.p3d', 903]
['582373: b_ficusc1s_f.p3d', 1021]
['579973: b_ficusc1s_f.p3d', 1153]
['1785919: kestrel_f.p3d Kestrel_Random_F', 1251]
['579870: b_ficusc1s_f.p3d', 1583]
['579857: basket_f.p3d', 1768]
['580975: pavement_narrow_f.p3d', 608]
['19958218b80# 580934: i_house_big_01_v3_f.p3d Land_i_House_Big_01_V3_F', 453]
['581010: pavement_narrow_f.p3d', 463]
['579617: wall_tin_4_2.p3d', 304]
['581357: b_ficusc1s_f.p3d', 532]
['582500: mound02_8m_f.p3d', 1014]
['582528: b_ficusc2s_f.p3d', 1061]
['581771: b_ficusc2s_f.p3d', 1097]
['1788567: kestrel_f.p3d Kestrel_Random_F', 1404]
['579917: stone_8m_f.p3d', 1425]
['581671: mound02_8m_f.p3d', 1532]
['581692: mound01_8m_f.p3d', 1614]
['579693: b_ficusc1s_f.p3d', 1660]
['581317: stone_8md_f.p3d', 493]
['580984: pavement_narrow_f.p3d', 901]
['580980: pavement_narrow_f.p3d', 721]
['581168: b_ficusc1s_f.p3d', 672]
['581047: stone_8m_f.p3d', 444]
['581332: stone_8m_f.p3d', 486]
['580828: city_8m_f.p3d', 587]
['580674: stone_pillar_f.p3d', 230]
['582354: cinderblocks_f.p3d', 948]
['582333: t_ficusb1s_f.p3d', 825]
['1783000: kestrel_f.p3d Kestrel_Random_F', 1130]
['579919: stone_8m_f.p3d', 1159]
['582235: barrelsand_f.p3d', 1161]
['581721: mound01_8m_f.p3d', 1185]
['581376: sacks_heap_f.p3d', 1232]
['1787345: kestrel_f.p3d Kestrel_Random_F', 1331]
['580843: pavement_wide_f.p3d', 1482]
['579515: mound01_8m_f.p3d', 1549]
['579643: stone_8m_f.p3d', 1561]
['579535: mound02_8m_f.p3d', 1696]
['581693: mound02_8m_f.p3d', 1801]
['579440: mound01_8m_f.p3d', 1827]
['580558: b_ficusc1s_f.p3d', 248]
['580669: stone_pillar_f.p3d', 177]
['580994: pavement_wide_corner_f.p3d', 899]
['580609: t_ficusb1s_f.p3d', 236]
['582547: t_ficusb1s_f.p3d', 954]
['580672: stone_pillar_f.p3d', 229]
['582250: b_ficusc1s_f.p3d', 760]
['581286: b_ficusc1s_f.p3d', 272]
['581121: stone_8m_f.p3d', 514]
['579832: pavement_wide_corner_f.p3d', 1351]
['581653: b_ficusc1s_f.p3d', 1452]
['582215: stone_8m_f.p3d', 935]
['Agent 0x000001993484C180', 618]
['581097: stone_8m_f.p3d', 468]
['581426: mound01_8m_f.p3d', 706]
['580953: b_ficusc1s_f.p3d', 623]
['582465: stone_8md_f.p3d', 808]
['582381: b_ficusc1s_f.p3d', 1195]
['581700: t_ficusb1s_f.p3d', 1456]
['579593: mound01_8m_f.p3d', 1567]
['579867: b_ficusc1s_f.p3d', 1617]
['579702: sacks_goods_f.p3d', 1630]
['579649: powerpolewooden_l_off_f.p3d', 1711]
['579534: mound02_8m_f.p3d', 1760]
['579752: b_neriumo2s_white_f.p3d', 1791]
['580630: stone_8m_f.p3d', 244]
['580696: cargo20_sand_f.p3d', 269]
['582328: t_ficusb1s_f.p3d', 986]
['1992d10cb80# 580638: powerpolewooden_l_f.p3d Land_PowerPoleWooden_L_F', 175]
['581175: sacks_goods_f.p3d', 782]
['581072: b_ficusc2s_f.p3d', 342]
['Agent 0x00000199D6BF6100', 483]
['580640: pavement_narrow_f.p3d', 209]
['582444: stone_8m_f.p3d', 659]
['582351: garbagecontainer_open_f.p3d', 945]
['581104: stone_8m_f.p3d', 815]
['580584: pipe_fence_4m_f.p3d', 210]
['580553: b_ficusc1s_f.p3d', 1111]
['579734: mound01_8m_f.p3d', 1527]
['581695: mound02_8m_f.p3d', 1538]
['581657: b_ficusc2s_f.p3d', 1677]
['579472: concrete_smallwall_4m_f.p3d', 1841]
['582297: b_ficusc1s_f.p3d', 837]
['581337: stone_8m_f.p3d', 338]
['582464: t_oleae2s_f.p3d', 716]
['580811: metalbarrel_empty_f.p3d', 616]
['581345: mound01_8m_f.p3d', 527]
['581074: stone_8md_f.p3d', 340]
['581065: b_ficusc2s_f.p3d', 371]
['581752: crateswooden_f.p3d', 1162]
['580802: cratesshabby_f.p3d', 1390]
['1788463: kestrel_f.p3d Kestrel_Random_F', 1409]
['1789565: kestrel_f.p3d Kestrel_Random_F', 1465]
['579824: t_quercusir2s_f.p3d', 1497]
['1790687: kestrel_f.p3d Kestrel_Random_F', 1547]
['579652: stone_pillar_f.p3d', 1559]
['579766: b_neriumo2s_white_f.p3d', 1734]
['579236: b_ficusc1s_f.p3d', 1809]
['579483: t_fraxinusav2s_f.p3d', 1829]
['51974: signt_infotaxirank.p3d', 768]
['581045: stone_8m_f.p3d', 352]
['581071: b_ficusc2s_f.p3d', 105]
['580733: mound02_8m_f.p3d', 9]
['581186: campingchair_v1_folded_f.p3d', 791]
['581313: sack_f.p3d', 572]
['580886: pavement_wide_f.p3d', 1260]
['580851: pavement_wide_f.p3d', 1391]
['579915: stone_8m_f.p3d', 1656]
['581078: stone_pillar_f.p3d', 428]
['581108: stone_8m_f.p3d', 831]
['581499: t_ficusb2s_f.p3d', 634]
['582310: b_ficusc1s_f.p3d', 988]
['580875: b_neriumo2s_white_f.p3d', 568]
['580673: stone_pillar_f.p3d', 289]
['19957401600# 581086: i_stone_shed_v1_f.p3d Land_i_Stone_Shed_V1_F', 127]
['582311: b_ficusc1s_f.p3d', 1011]
['582268: b_ficusc1s_f.p3d', 1047]
['579717: stone_8m_f.p3d', 1580]
['579522: b_ficusc1s_f.p3d', 1623]
['579950: canal_wallsmall_10m_f.p3d', 1664]
['579639: stone_8m_f.p3d', 1766]
['580776: stone_8m_f.p3d', 139]
['582316: stone_8m_f.p3d', 882]
['582324: stone_pillar_f.p3d', 845]
['579923: stone_4m_f.p3d', 896]
['580883: pipes_small_f.p3d', 850]
['582267: b_ficusc1s_f.p3d', 1002]
['582239: wall_tin_4_2.p3d', 880]
['580921: pipe_fence_4m_f.p3d', 730]
['580842: pavement_wide_f.p3d', 743]
['580870: stone_8m_f.p3d', 382]
['581133: stone_pillar_f.p3d', 702]
['582485: t_ficusb1s_f.p3d', 964]
['199582b5600# 580593: slum_house01_f.p3d Land_Slum_House01_F', 164]
['581280: b_ficusc1s_f.p3d', 60]
['582377: b_ficusc1s_f.p3d', 1019]
['1784804: kestrel_f.p3d Kestrel_Random_F', 1211]
['1785824: kestrel_f.p3d Kestrel_Random_F', 1249]
['580973: pavement_narrow_f.p3d', 1256]
['579714: stone_8md_f.p3d', 1670]
['579488: bench_02_f.p3d', 1839]
['580535: hbarrier_1_f.p3d', 264]
['581032: b_ficusc1s_f.p3d', 320]
['581000: bucket_f.p3d', 590]
['580895: pavement_wide_f.p3d', 626]
['580710: hbarrier_1_f.p3d', 311]
['580982: pavement_narrow_f.p3d', 733]
['1995685a080# 581318: i_stone_housesmall_v1_f.p3d Land_i_Stone_HouseSmall_V1_F', 337]
['582365: mound02_8m_f.p3d', 974]
['579908: stone_pillar_f.p3d', 700]
['579996: b_ficusc2s_f.p3d', 785]
['581410: b_ficusc1s_f.p3d', 757]
['19957e83580# 580942: i_house_small_02_v1_f.p3d Land_i_House_Small_02_V1_F', 778]
['582487: t_ficusb1s_f.p3d', 1083]
['580743: watertank_f.p3d', 1105]
['1787144: kestrel_f.p3d Kestrel_Random_F', 1328]
['579935: pavement_wide_f.p3d', 1441]
['580589: garbagewashingmachine_f.p3d', 1616]
['579253: mound02_8m_f.p3d', 1751]
['580586: pipe_fence_4m_f.p3d', 217]
['582238: t_ficusb2s_f.p3d', 842]
['580855: pavement_wide_f.p3d', 436]
['580909: stone_8m_f.p3d', 763]
['580570: mil_wallbig_4m_f.p3d', 265]
['Agent 0x000001996E5E8100', 495]
['579536: t_fraxinusav2s_f.p3d', 1305]
['579962: t_ficusb1s_f.p3d', 1352]
['1788622: kestrel_f.p3d Kestrel_Random_F', 1405]
['580683: wall_tin_pole.p3d', 1406]
['581654: b_ficusc1s_f.p3d', 1453]
['581682: b_ficusc1s_f.p3d', 1546]
['579509: mound01_8m_f.p3d', 1621]
['579556: mound01_8m_f.p3d', 1805]
['581172: pavement_narrow_corner_f.p3d', 599]
['581137: stone_pillar_f.p3d', 799]
['581151: b_ficusc1s_f.p3d', 670]
['580604: t_ficusb1s_f.p3d', 302]
['581003: chairplastic_f.p3d', 322]
['579606: b_ficusc1s_f.p3d', 199]
['581061: pipe_fence_4m_f.p3d', 99]
['581006: ironpipes_f.p3d', 339]
['1785089: kestrel_f.p3d Kestrel_Random_F', 1222]
['Agent 0x00000199CA5DC140', 1230]
['581728: mound01_8m_f.p3d', 1374]
['579683: b_ficusc1s_f.p3d', 1710]
['580585: pipe_fence_4m_f.p3d', 203]
['581190: b_ficusc1s_f.p3d', 43]
['580552: wall_tin_4_2.p3d', 329]
['581412: b_ficusc1s_f.p3d', 756]
['582295: wheelcart_f.p3d', 1048]
['579603: b_ficusc1s_f.p3d', 1303]
['581764: b_ficusc1s_f.p3d', 1383]
['581681: b_ficusc1s_f.p3d', 1539]
['581694: mound02_8m_f.p3d', 1545]
['199578f0b80# 579823: chapel_v1_f.p3d Land_Chapel_V1_F', 1592]
['19957aeab00# 579658: u_house_small_02_v1_f.p3d Land_u_House_Small_02_V1_F', 1629]
['580012: cratesplastic_f.p3d', 1826]
['1992d10ab00# 580795: i_house_big_01_v2_f.p3d Land_i_House_Big_01_V2_F', 478]
['582294: pallets_f.p3d', 949]
['582255: mound01_8m_f.p3d', 1000]
['581401: b_ficusc1s_f.p3d', 494]
['581346: mound01_8m_f.p3d', 526]
['580860: pavement_wide_f.p3d', 145]
['580646: mound01_8m_f.p3d', 196]
['51976: signt_inforestaurant.p3d', 695]
['580667: stone_pillar_f.p3d', 227]
['582420: b_ficusc1s_f.p3d', 820]
['581022: b_ficusc1s_f.p3d', 125]
['582307: b_ficusc1s_f.p3d', 970]
['580760: b_ficusc1s_f.p3d', 49]
['51984: signt_speedlimit30.p3d', 595]
['579992: b_ficusc1s_f.p3d', 787]
['51982: signt_stop.p3d', 530]
['582488: t_ficusb1s_f.p3d', 1067]
['579573: stone_8m_f.p3d', 1122]
['1783261: kestrel_f.p3d Kestrel_Random_F', 1132]
['579921: stone_8m_f.p3d', 1138]
['580545: stone_pillar_f.p3d', 1214]
['579621: wired_fence_8m_f.p3d', 1413]
['579533: mound02_8m_f.p3d', 1553]
['579541: mound02_8m_f.p3d', 1556]
['1790752: kestrel_f.p3d Kestrel_Random_F', 1558]
['580659: b_ficusc1s_f.p3d', 245]
['581056: stone_8m_f.p3d', 345]
['580715: b_ficusc1s_f.p3d', 333]
['19957e82b00# 581712: i_stone_housesmall_v1_f.p3d Land_i_Stone_HouseSmall_V1_F', 1004]
['1781426: kestrel_f.p3d Kestrel_Random_F', 771]
['581161: b_ficusc1s_f.p3d', 448]
['<NULL-object>', 0]
['1784989: kestrel_f.p3d Kestrel_Random_F', 1217]
['1788413: kestrel_f.p3d Kestrel_Random_F', 1385]
['580008: mound02_8m_f.p3d', 1540]
['579532: mound02_8m_f.p3d', 1571]
['581643: b_ficusc1s_f.p3d', 1602]
['579585: mound01_8m_f.p3d', 1641]
['51972: signt_inforestaurant.p3d', 140]
['581180: basket_f.p3d', 729]
['581349: mound01_8m_f.p3d', 591]
['582290: t_ficusb2s_f.p3d', 1040]
['580714: b_ficusc1s_f.p3d', 1118]
['580869: b_ficusc1s_f.p3d', 1226]
['579565: cages_f.p3d', 1314]
['580990: pavement_narrow_f.p3d', 1422]
['1789797: kestrel_f.p3d Kestrel_Random_F', 1488]
['579902: concrete_smallwall_4m_f.p3d', 1647]
['579696: b_ficusc1s_f.p3d', 1764]
['580650: b_ficusc1s_f.p3d', 179]
['581281: b_ficusc1s_f.p3d', 59]
['580826: city_8m_f.p3d', 410]
['581132: stone_pillar_f.p3d', 871]
['580725: b_ficusc1s_f.p3d', 12]
['582276: mound01_8m_f.p3d', 928]
['580543: t_ficusb1s_f.p3d', 250]
['582480: b_ficusc2s_f.p3d', 1032]
['579846: pavement_narrow_f.p3d', 1208]
['579572: stone_8m_f.p3d', 1394]
['581731: mound02_8m_f.p3d', 1460]
['579577: mound02_8m_f.p3d', 1478]
['1790057: kestrel_f.p3d Kestrel_Random_F', 1504]
['Agent 0x00000199CA5DC0C0', 1578]
['579548: b_ficusc1s_f.p3d', 1692]
['579502: b_ficusc1s_f.p3d', 1752]
['580903: stone_pillar_f.p3d', 610]
['582229: stone_pillar_f.p3d', 724]
['580757: b_ficusc1s_f.p3d', 48]
['581044: stone_8m_f.p3d', 353]
['582451: t_ficusb1s_f.p3d', 827]
['580617: stone_8m_f.p3d', 293]
['581302: mound02_8m_f.p3d', 273]
['199580e4100# 580793: i_shop_02_v2_f.p3d Land_i_Shop_02_V2_F', 324]
['582422: b_ficusc1s_f.p3d', 811]
['1992d108100# 579834: stone_gate_f.p3d Land_Stone_Gate_F', 1142]
['581726: mound01_8m_f.p3d', 1292]
['580539: wired_fence_8m_f.p3d', 1407]
['579949: canal_wallsmall_10m_f.p3d', 1597]
['579644: stone_8m_f.p3d', 1631]
['579897: stone_4m_f.p3d', 1650]
['579473: concrete_smallwall_4m_f.p3d', 1849]
['580622: stone_8m_f.p3d', 292]
['581331: stone_8m_f.p3d', 490]
['581101: stone_8m_f.p3d', 665]
['581370: tyre_f.p3d', 464]
['581053: stone_8m_f.p3d', 318]
['580663: b_ficusc1s_f.p3d', 172]
['582368: b_ficusc1s_f.p3d', 984]
['581154: b_ficusc1s_f.p3d', 819]
['581095: stone_8m_f.p3d', 655]
['1782991: kestrel_f.p3d Kestrel_Random_F', 1129]
['579590: mound01_8m_f.p3d', 1203]
['579981: b_ficusc1s_f.p3d', 1272]
['581710: b_ficusc1s_f.p3d', 1283]
['580540: wired_fence_8m_f.p3d', 1321]
['579958: stone_pillar_f.p3d', 1359]
['579580: mound02_8m_f.p3d', 1573]
['581699: mound02_8m_f.p3d', 1611]
['579656: stone_pillar_f.p3d', 1713]
['579790: b_neriumo2s_white_f.p3d', 1723]
['579816: concrete_smallwall_4m_f.p3d', 1850]
['581014: b_ficusc1s_f.p3d', 387]
['580881: sack_f.p3d', 894]
['582421: b_ficusc1s_f.p3d', 813]
['581187: campingchair_v1_folded_f.p3d', 793]
['581348: mound01_8m_f.p3d', 533]
['581422: mound01_8m_f.p3d', 492]
['581496: t_ficusb1s_f.p3d', 636]
['582236: t_ficusb2s_f.p3d', 604]
['582299: b_ficusc1s_f.p3d', 996]
['581215: b_ficusc1s_f.p3d', 61]
['580901: t_ficusb2s_f.p3d', 454]
['581075: stone_8md_f.p3d', 491]
['1780572: kestrel_f.p3d Kestrel_Random_F', 414]
['581084: b_neriumo2s_white_f.p3d', 565]
['581352: mound01_8m_f.p3d', 573]
['582282: mound02_8m_f.p3d', 1101]
['1782685: kestrel_f.p3d Kestrel_Random_F', 1127]
['580576: mil_wallbig_4m_f.p3d', 1309]
['1787328: kestrel_f.p3d Kestrel_Random_F', 1336]
['580847: pavement_wide_f.p3d', 1340]
['579654: stone_pillar_f.p3d', 1570]
['1790872: kestrel_f.p3d Kestrel_Random_F', 1577]
['579723: stone_8m_f.p3d', 1774]
['579704: canisterplastic_f.p3d', 1813]
['580610: t_ficusb1s_f.p3d', 226]
['580713: b_ficusc1s_f.p3d', 21]
['582240: wall_tin_4_2.p3d', 885]
['580581: mil_wallbig_corner_f.p3d', 258]
['580780: stone_8m_f.p3d', 132]
['581127: stone_pillar_f.p3d', 429]
['580781: stone_8m_f.p3d', 131]
['580831: powerpolewooden_f.p3d', 397]
['580913: stone_8m_f.p3d', 560]
['579900: t_ficusb2s_f.p3d', 1131]
['579514: mound01_8m_f.p3d', 1550]
['581666: mound02_8m_f.p3d', 1609]
['NOID shop_02_dam_proxy1_f.p3d', 1771]
['581572: b_ficusc1s_f.p3d', 1795]
['1995821b580# 580688: i_stone_housesmall_v1_f.p3d Land_i_Stone_HouseSmall_V1_F', 160]
['581041: stone_8m_f.p3d', 117]
['582336: t_oleae2s_f.p3d', 673]
['581166: b_ficusc1s_f.p3d', 810]
['19958041600# 580961: i_addon_03mid_v1_f.p3d Land_i_Addon_03mid_V1_F', 630]
['1785246: kestrel_f.p3d Kestrel_Random_F', 1223]
['1785579: kestrel_f.p3d Kestrel_Random_F', 1228]
['579963: t_ficusb2s_f.p3d', 1240]
['580001: mound01_8m_f.p3d', 1381]
['579845: pavement_narrow_f.p3d', 1433]
['579829: stone_pillar_f.p3d', 1528]
['581762: b_ficusc1s_f.p3d', 1536]
['579865: b_ficusc1s_f.p3d', 1694]
['580932: campingchair_v1_folded_f.p3d', 734]
['1995802d600# 580967: i_stone_housebig_v3_f.p3d Land_i_Stone_HouseBig_V3_F', 779]
['582330: t_ficusb1s_f.p3d', 968]
['580708: hbarrier_1_f.p3d', 16]
['581171: b_ficusc1s_f.p3d', 642]
['581363: b_ficusc1s_f.p3d', 403]
['580885: bench_01_f.p3d', 723]
['581299: mound01_8m_f.p3d', 71]
['580670: stone_pillar_f.p3d', 186]
['580858: pavement_wide_f.p3d', 150]
['581091: pavement_narrow_f.p3d', 684]
['582266: b_ficusc1s_f.p3d', 1042]
['579983: b_ficusc1s_f.p3d', 1364]
['579942: canisterplastic_f.p3d', 1366]
['579481: stone_8m_f.p3d', 1828]
['581029: b_ficusc1s_f.p3d', 518]
['580616: stone_8m_f.p3d', 524]
['582458: t_ficusb1s_f.p3d', 806]
['582243: wall_tin_4_2.p3d', 879]
['581389: t_ficusb1s_f.p3d', 576]
['580597: cncbarrier_f.p3d', 309]
['582227: stone_pillar_f.p3d', 931]
['582466: b_ficusc1s_f.p3d', 1073]
['579898: t_ficusb2s_f.p3d', 1327]
['1789813: kestrel_f.p3d Kestrel_Random_F', 1489]
['579864: b_ficusc1s_f.p3d', 1644]
['579748: b_ficusc1s_f.p3d', 1653]
['581675: b_ficusc1s_f.p3d', 1681]
['579235: b_ficusc1s_f.p3d', 1763]
['579471: concrete_smallwall_4m_f.p3d', 1837]
['581287: b_ficusc1s_f.p3d', 274]
['580771: mound01_8m_f.p3d', 88]
['581211: b_ficusc1s_f.p3d', 66]
['580692: garbagebin_01_f.p3d', 522]
['581058: t_ficusb2s_f.p3d', 110]
['581176: barrelsand_f.p3d', 679]
['582364: mound02_8m_f.p3d', 990]
['581099: stone_8m_f.p3d', 510]
['1781867: kestrel_f.p3d Kestrel_Random_F', 891]
['579980: b_ficusc1s_f.p3d', 1367]
['1788681: kestrel_f.p3d Kestrel_Random_F', 1410]
['579561: mound01_8m_f.p3d', 1634]
['579786: b_neriumo2s_white_f.p3d', 1720]
['580992: pavement_narrow_f.p3d', 764]
['579610: b_ficusc1s_f.p3d', 294]
['582448: stone_pillar_f.p3d', 821]
['19957402b00# 580772: slum_house03_f.p3d Land_Slum_House03_F', 90]
['581067: b_ficusc2s_f.p3d', 315]
['580791: bench_01_f.p3d', 564]
['580928: barrelsand_f.p3d', 689]
['580991: pavement_narrow_f.p3d', 732]
['1992d10a080# 580822: u_house_big_01_v1_f.p3d Land_u_House_Big_01_V1_F', 395]
['582476: b_ficusc1s_f.p3d', 1084]
['581756: b_ficusc1s_f.p3d', 1200]
['51958: signt_speedlimit30.p3d', 1244]
['581733: mound02_8m_f.p3d', 1276]
['580729: mound02_8m_f.p3d', 1301]
['579604: b_ficusc1s_f.p3d', 1304]
['579694: b_ficusc1s_f.p3d', 1593]
['579526: b_ficusc1s_f.p3d', 1689]
['579722: stone_8m_f.p3d', 1736]
['579763: b_neriumo2s_white_f.p3d', 1784]
['579749: b_ficusc1s_f.p3d', 1792]
['579762: b_neriumo2s_white_f.p3d', 1854]
['581429: mound01_8m_f.p3d', 754]
['582359: cages_f.p3d', 834]
['580825: city_8m_f.p3d', 409]
['581420: mound01_8m_f.p3d', 797]
['582213: stone_8m_f.p3d', 758]
['19958042080# 580820: i_house_small_02_v2_f.p3d Land_i_House_Small_02_V2_F', 284]
['582270: b_ficusc1s_f.p3d', 1045]
['581703: b_ficusc1s_f.p3d', 1261]
['581723: mound01_8m_f.p3d', 1278]
['1789367: kestrel_f.p3d Kestrel_Random_F', 1439]
['579863: b_ficusc1s_f.p3d', 1568]
['579872: cages_f.p3d', 1618]
